Participants,Armour,Mass,Speed,lateral_kjcf_peak_noOut,medial_kjcf_first_peak_noOut,medial_kjcf_second_peak_noOut,total_kjcf_first_peak_noOut,total_kjcf_second_peak_noOut,vest_fit_f,vest_comfort_f,offset_f,belt_fit_f,belt_comfort_f,shoulders_comf_f,hips_comf_f,knees_comf_f
10,pARM1,30,Fast,3.105873309,2.894629381,2.3936035,3.903455889,5.799025766,1,1,1,0,0,1,1,0
11,pARM1,30,Fast,2.363179723,3.692011341,1.673538227,4.418907582,4.567060064,0,1,1,1,0,1,0,0
12,pARM1,30,Fast,3.547662243,4.92925044,1.577298584,5.499015744,5.150168916,1,1,1,1,1,1,0,0
13,pARM1,30,Fast,2.719337821,3.357418881,1.009859157,3.785497238,3.909645279,1,1,1,1,1,1,1,0
14,pARM1,30,Fast,2.713290836,4.689731744,0.873071608,6.060689187,3.909465414,1,1,1,1,1,1,1,0
15,pARM1,30,Fast,1.681518783,5.746854805,0.841379945,7.389932381,2.757968909,1,1,1,0,0,1,1,1
16,pARM1,30,Fast,4.996094236,3.352793209,3.417838072,4.660251011,8.309820975,1,1,1,0,0,1,0,0
17,pARM1,30,Fast,2.970055111,2.457805896,1.035529036,3.848019702,7.954365837,1,1,1,1,1,1,1,0
18,pARM1,30,Fast,2.540797793,4.305471852,5.276435083,6.053133831,6.936581898,1,1,0,1,0,1,1,1
19,pARM1,30,Fast,2.088075056,3.203951064,3.515420258,3.39882663,5.382964868,1,1,1,1,1,1,1,1
20,pARM1,30,Fast,1.448383422,3.717471203,1.936835766,5.921380199,7.511915934,1,1,0,1,1,1,0,0
1,pARM1,15,Moderate,1.557396329,2.811374305,3.06785455,2.760943798,4.204968627,1,1,1,0,0,1,1,0
2,pARM1,15,Moderate,3.599385701,3.191530002,0.809443795,3.459447482,4.243015869,1,1,1,0,0,1,1,0
3,pARM1,15,Moderate,2.316795603,2.265555353,1.517141698,5.459832913,5.401284411,1,1,1,1,1,1,1,0
4,pARM1,15,Moderate,2.316795603,3.408090423,2.03705048,3.850470202,4.328706304,1,1,1,1,1,1,1,1
5,pARM1,15,Moderate,1.448383422,3.372476598,0.850074497,4.058104612,3.296097455,1,1,1,1,1,0,0,0
6,pARM1,15,Moderate,3.77718887,3.382087244,2.857901183,3.954500307,6.187852336,1,1,1,0,0,0,1,0
7,pARM1,15,Moderate,1.646312437,2.382677709,2.361721178,2.640628571,4.059198676,1,1,1,1,1,0,0,0
8,pARM1,15,Moderate,3.599385701,4.275192342,2.3936035,3.195466713,3.657972784,1,1,1,1,1,0,1,0
9,pARM1,15,Moderate,3.111516948,2.515408466,1.277635803,3.248416231,4.05645514,1,1,1,1,1,0,1,0
10,pARM1,15,Moderate,2.559206028,2.85423306,3.288452274,3.530045437,5.446543565,1,1,1,0,1,1,1,0
11,pARM1,15,Moderate,1.67520097,3.125209086,3.064819173,3.880363585,4.595729465,1,1,1,1,1,0,0,0
12,pARM1,15,Moderate,3.75907859,3.77645047,2.324137815,4.024889744,5.723327417,1,1,1,1,1,0,1,0
